eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
85.62,-2.5399999618530273,21.0,0.00031474337447434664,0.0,2.707736015319824,-0.0005336807225830853,0.4736610949039459,0.0025148987770080566,1.0,256.0,759.6797642,16384.0
87.0,-2.509999990463257,21.0,0.0002878886880353093,0.0,2.7064692974090576,-0.0005128175835125148,0.18551795184612274,0.04245275259017944,2.0,512.0,1514.625314,32768.0
82.99,-1.9600000381469727,24.0,0.0006727243890054524,0.0012410482158884406,2.7039668560028076,-0.001055804081261158,0.18005305528640747,0.07628405094146729,3.0,768.0,2186.0075315000004,49152.0
91.31,-2.4600000381469727,25.0,0.0006991486879996955,0.00103759765625,2.6993350982666016,-0.0011055837385356426,0.15064598619937897,0.17109179496765137,4.0,1024.0,2828.6985549,65536.0
88.52,-1.7999999523162842,25.0,0.001148402108810842,0.0012410482158884406,2.70002818107605,-0.001720104948617518,0.1340511292219162,0.26232272386550903,5.0,1280.0,3481.6885068,81920.0
96.1,-1.5099999904632568,25.0,0.0030699733179062605,0.02671305276453495,2.689258337020874,-0.0032300094608217478,0.12311771512031555,0.3736831545829773,6.0,1536.0,4122.3860267,98304.0
81.82,-1.3700000047683716,25.0,0.0033302325755357742,0.0245361328125,2.6801795959472656,-0.005023180972784758,0.10607322305440903,0.4444989562034607,7.0,1792.0,4763.1628298000005,114688.0
85.03,-1.590000033378601,25.0,0.0027182791382074356,0.01324462890625,2.672757148742676,-0.004022886510938406,0.1284530609846115,0.516115814447403,8.0,2048.0,5405.7801859,131072.0
84.68,-1.1699999570846558,25.0,0.0036034071817994118,0.0318806953728199,2.662126302719116,-0.004685183521360159,0.09283570200204849,0.5782488286495209,9.0,2304.0,6037.8760676,147456.0
84.48,-1.2699999809265137,25.0,0.0038754602428525686,0.0372314453125,2.6683082580566406,-0.006782812997698784,0.0700082778930664,0.6355359852313995,10.0,2560.0,6690.7763936,163840.0
85.48,-0.8199999928474426,26.0,0.005378177855163813,0.0594889335334301,2.6441774368286133,-0.009194849990308285,0.09868296980857849,0.563740998506546,11.0,2816.0,7320.9365539,180224.0
86.87,-0.25,25.0,0.00544457184150815,0.0619303397834301,2.6472179889678955,-0.008025568909943104,0.06463892757892609,0.6298493444919586,12.0,3072.0,7955.5607453,196608.0
