eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
52.13,0.0,1680.0,0.0005024159909226,0.0,2.707571029663086,-0.0012441150611266494,0.05739741399884224,0.012824773788452148,1.0,256.0,9.74685303797014,16384.0
46.18,0.0,3315.0,0.0035603325814008713,0.031005859375,2.6978328227996826,-0.0015361174009740353,0.1025049015879631,-0.013935327529907227,2.0,512.0,14.690388819901273,32768.0
63.34,0.2199999988079071,3299.0,0.0017349198460578918,0.013407389633357525,2.6874923706054688,-0.000919120095204562,0.12976399064064026,0.03805959224700928,3.0,768.0,19.65637054783292,49152.0
55.59,0.25,3247.0,0.002389228669926524,0.012613932602107525,2.6799118518829346,-0.0019862877670675516,0.2103656530380249,0.06460613012313843,4.0,1024.0,24.70213285088539,65536.0
60.14,0.14000000059604645,3246.0,0.0038013013545423746,0.0128173828125,2.661362409591675,-0.00198210752569139,0.14466659724712372,0.05842345952987671,5.0,1280.0,29.750001101987436,81920.0
69.35,0.28999999165534973,3468.0,0.0024890510831028223,0.01829020120203495,2.6554667949676514,-0.001433695200830698,0.24549348652362823,0.07106906175613403,6.0,1536.0,34.474326863884926,98304.0
51.49,0.15000000596046448,3317.0,0.002258415101096034,0.009969075210392475,2.6580491065979004,-0.0015851487405598164,0.29021045565605164,0.08664464950561523,7.0,1792.0,39.41391040198505,114688.0
54.39,0.019999999552965164,3160.0,0.004269293509423733,0.0341593436896801,2.6323773860931396,-0.000573430850636214,0.14350377023220062,0.15112584829330444,8.0,2048.0,44.600881850812584,131072.0
67.99,0.17000000178813934,3293.0,0.0024780682288110256,0.015340168960392475,2.628014326095581,-0.0023639213759452105,0.19088290631771088,0.15754765272140503,9.0,2304.0,49.578092373907566,147456.0
88.63,0.6200000047683716,3231.0,0.0036939901765435934,0.03092447854578495,2.6177656650543213,-0.001474172342568636,0.2942540645599365,0.14861708879470825,10.0,2560.0,54.64927934994921,163840.0
81.22,0.18000000715255737,3509.0,0.0031247849110513926,0.02775065042078495,2.6219003200531006,-0.0025737660471349955,0.13230007886886597,0.18256688117980957,11.0,2816.0,59.31915558385663,180224.0
60.43,0.14000000059604645,3290.0,0.003029649844393134,0.01719156838953495,2.6091816425323486,-0.00212895218282938,0.1772020012140274,0.2389184832572937,12.0,3072.0,64.29979752795771,196608.0
