eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.89,1.9600000381469727,1870.0,0.0007669829647056758,0.0008951823110692203,2.7072973251342773,-0.0011381201911717653,0.7340797781944275,0.02770817279815674,1.0,256.0,8.760991553077474,16384.0
78.44,1.659999966621399,4022.0,0.0032840350177139044,0.01713053323328495,2.6981468200683594,-0.0027198486495763063,0.16007408499717712,0.11074292659759521,2.0,512.0,12.835558878956363,32768.0
82.84,2.0999999046325684,4144.0,0.004327740054577589,0.0267333984375,2.670541763305664,-0.0022855959832668304,0.2580392360687256,0.059396982192993164,3.0,768.0,16.789626602083445,49152.0
86.41,2.2300000190734863,4133.0,0.0013242592103779316,0.0060831704176962376,2.6579160690307617,-0.0010229572653770447,0.17459248006343842,0.0845261812210083,4.0,1024.0,20.75434417417273,65536.0
92.84,2.680000066757202,4128.0,0.0022872162517160177,0.0076497397385537624,2.6325836181640625,-0.0009739934466779232,0.18789531290531158,0.09571850299835205,5.0,1280.0,24.724312571110204,81920.0
90.8,2.6500000953674316,4144.0,0.0035809988621622324,0.02333577536046505,2.620579719543457,-0.0018768636509776115,0.19461335241794586,0.08011406660079956,6.0,1536.0,28.679169652052224,98304.0
88.76,2.509999990463257,4098.0,0.002862936817109585,0.02010091207921505,2.6071064472198486,-0.002521653426811099,0.178547665476799,0.13105225563049316,7.0,1792.0,32.677861374104396,114688.0
93.81,2.6600000858306885,4171.0,0.0022242777049541473,0.008646647445857525,2.6117568016052246,-0.0011455985950306058,0.19238901138305664,0.16807442903518677,8.0,2048.0,36.60638835094869,131072.0
91.53,2.4800000190734863,4179.0,0.0040780892595648766,0.0281982421875,2.5975167751312256,-0.0026628850027918816,0.15555979311466217,0.23356711864471436,9.0,2304.0,40.52753698104061,147456.0
93.14,3.009999990463257,4093.0,0.001315410598181188,0.00244140625,2.601890802383423,-0.0012021437287330627,0.19406288862228394,0.22443723678588867,10.0,2560.0,44.531427182024345,163840.0
98.09,3.25,4200.0,0.005091492552310228,0.0352986641228199,2.5851547718048096,-0.00363369844853878,0.17907224595546722,0.29532408714294434,11.0,2816.0,48.43305661715567,180224.0
90.89,2.940000057220459,4192.0,0.0041817170567810535,0.02543131448328495,2.5637853145599365,-0.00263264961540699,0.18876107037067413,0.32033735513687134,12.0,3072.0,52.34226721501909,196608.0
98.2,3.6500000953674316,4051.0,0.004023462999612093,0.0312906913459301,2.534498929977417,-0.0034100140910595655,0.21495302021503448,0.3751900792121887,13.0,3328.0,56.38687853398733,212992.0
91.62,2.7300000190734863,4045.0,0.0031756896059960127,0.022216796875,2.534769058227539,-0.0029776033479720354,0.16546018421649933,0.39804381132125854,14.0,3584.0,60.43786172196269,229376.0
92.65,3.2200000286102295,4103.0,0.0058423057198524475,0.0501505546271801,2.506561279296875,-0.004568800795823336,0.16328327357769012,0.38563013076782227,15.0,3840.0,64.43292575608939,245760.0
93.94,2.9600000381469727,4092.0,0.003931393846869469,0.03594970703125,2.5027284622192383,-0.0040544611401855946,0.1647803634405136,0.39610761404037476,16.0,4096.0,68.43780896998942,262144.0
97.48,3.5899999141693115,4134.0,0.004940106999129057,0.0430908203125,2.47523832321167,-0.002806121716275811,0.20008021593093872,0.40892887115478516,17.0,4352.0,72.4012296400033,278528.0
93.65,3.4800000190734863,4146.0,0.004981302656233311,0.0426025390625,2.48168683052063,-0.004098095465451479,0.18236185610294342,0.37365567684173584,18.0,4608.0,76.35356947407126,294912.0
98.39,3.5,4144.0,0.004482622258365154,0.0423177070915699,2.4563045501708984,-0.004643324296921492,0.1818205863237381,0.3895249366760254,19.0,4864.0,80.30773504613899,311296.0
100.25,3.8399999141693115,4085.0,0.00513991666957736,0.0480753593146801,2.4253392219543457,-0.0031134106684476137,0.19616757333278656,0.3960716128349304,20.0,5120.0,84.31904006702825,327680.0
95.86,3.3499999046325684,4091.0,0.005021203774958849,0.05328369140625,2.427838087081909,-0.004992641042917967,0.1736106425523758,0.4505627155303955,21.0,5376.0,88.3251403060276,344064.0
104.17,4.429999828338623,4090.0,0.005778330843895674,0.0652058944106102,2.412494421005249,-0.0036094810348004103,0.1987016201019287,0.47467952966690063,22.0,5632.0,92.33205693098716,360448.0
107.64,4.5,4158.0,0.005471986252814531,0.0555419921875,2.399343729019165,-0.0051035406067967415,0.20758576691150665,0.45630383491516113,23.0,5888.0,96.27330554509535,376832.0
103.36,4.449999809265137,4098.0,0.0051191323436796665,0.0497233085334301,2.4084644317626953,-0.004920720588415861,0.21038587391376495,0.412359356880188,24.0,6144.0,100.27187846112065,393216.0
105.55,3.819999933242798,4107.0,0.005419257562607527,0.06365966796875,2.405130386352539,-0.005169373471289873,0.1776396483182907,0.49860161542892456,25.0,6400.0,104.26142297312617,409600.0
102.16,3.950000047683716,4077.0,0.004554275423288345,0.044189453125,2.4167518615722656,-0.005046629346907139,0.15956541895866394,0.5224343538284302,26.0,6656.0,108.28118764911778,425984.0
100.72,4.139999866485596,4098.0,0.004962580744177103,0.04779052734375,2.4138238430023193,-0.0008393952739425004,0.2542478144168854,0.47455620765686035,27.0,6912.0,112.2796857971698,442368.0
108.88,4.78000020980835,4142.0,0.005509488750249147,0.063232421875,2.390753984451294,-0.004678828176110983,0.18905584514141083,0.5163479149341583,28.0,7168.0,116.23584253899753,458752.0
108.89,4.75,4103.0,0.006072645541280508,0.06939697265625,2.3929245471954346,-0.006557381246238947,0.1750219464302063,0.5285384654998779,29.0,7424.0,120.22989201801829,475136.0
101.41,4.340000152587891,4111.0,0.005643908400088549,0.0629068985581398,2.400926351547241,-0.005420017521828413,0.18063680827617645,0.5187622904777527,30.0,7680.0,124.21584221208468,491520.0
104.81,4.329999923706055,4120.0,0.006266309414058924,0.0772705078125,2.429759979248047,-0.006540969014167786,0.17603124678134918,0.48989659547805786,31.0,7936.0,128.19344316003844,507904.0
