eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
93.62068965517241,2.068965435028076,1847.0,0.00042259498150087893,0.0,2.707644462585449,-0.0005792582524009049,0.18350569903850555,0.02463012933731079,1.0,256.0,8.869121550116688,16384.0
178.91803278688525,3.4426229000091553,4011.0,0.0006341101252473891,0.0,2.704894781112671,-0.0008872533799149096,0.40841415524482727,0.007907569408416748,2.0,512.0,12.954549537040293,32768.0
228.18072289156626,3.0481927394866943,4002.0,0.002969061955809593,0.010091145522892475,2.69352650642395,-0.002071131719276309,0.13108287751674652,0.06891518831253052,3.0,768.0,17.048612711951137,49152.0
433.15,2.759999990463257,4020.0,0.0032927372958511114,0.01617431640625,2.6815433502197266,-0.001751233241520822,0.17377936840057373,0.04008418321609497,4.0,1024.0,21.125017683953047,65536.0
473.13,1.7599999904632568,4055.0,0.0024092027451843023,0.013916015625,2.660590410232544,-0.0013857324374839664,0.10634749382734299,0.08350813388824463,5.0,1280.0,25.16640919074416,81920.0
481.19,1.7999999523162842,4057.0,0.003692977363243699,0.0242919921875,2.6440107822418213,-0.002313408302143216,0.27238187193870544,0.035553693771362305,6.0,1536.0,29.205228624865413,98304.0
421.75,2.0999999046325684,4045.0,0.0029434061143547297,0.01434326171875,2.669748544692993,-0.0008239131420850754,0.13613425195217133,0.04280775785446167,7.0,1792.0,33.256581724155694,114688.0
466.66,2.4000000953674316,4065.0,0.0013467958196997643,0.00032552084303461015,2.6674556732177734,-0.0013117394410073757,0.16925664246082306,0.04333078861236572,8.0,2048.0,37.28806076804176,131072.0
484.16,3.200000047683716,4083.0,0.0017986483871936798,0.010579426772892475,2.653045415878296,-0.0013593187322840095,0.4516977071762085,0.04465419054031372,9.0,2304.0,41.30090904282406,147456.0
468.88,3.9000000953674316,3997.0,0.0019069919362664223,0.0071614584885537624,2.635561227798462,-0.0018552322871983051,0.3041132688522339,0.05714541673660278,10.0,2560.0,45.4004544140771,163840.0
370.28,4.300000190734863,4036.0,0.003602985292673111,0.02732340432703495,2.6378448009490967,-0.0019261674024164677,0.5063403248786926,0.08412438631057739,11.0,2816.0,49.46090667694807,180224.0
401.44,3.4000000953674316,4049.0,0.0013790605589747429,0.00445556640625,2.652120590209961,-0.0018610084662213922,0.26214221119880676,0.12364768981933594,12.0,3072.0,53.508337882813066,196608.0
402.23,3.9000000953674316,4067.0,0.002292084973305464,0.008687336929142475,2.6409404277801514,-0.002807394601404667,0.3244466483592987,0.16514182090759277,13.0,3328.0,57.53713578591123,212992.0
432.61,3.5,4055.0,0.0025993085000663996,0.01936849020421505,2.6362216472625732,-0.0032792044803500175,0.30422404408454895,0.17990827560424805,14.0,3584.0,61.57784502673894,229376.0
422.81,4.0,3982.0,0.005400269757956266,0.030517578125,2.609067916870117,-0.005200016312301159,0.2851327061653137,0.20341652631759644,15.0,3840.0,65.69259524485096,245760.0
376.24,3.700000047683716,3976.0,0.002881152555346489,0.01643880270421505,2.5916242599487305,-0.003948601428419352,0.42340680956840515,0.2144986391067505,16.0,4096.0,69.81532696913928,262144.0
349.29,3.0999999046325684,3999.0,0.00230022263713181,0.01556396484375,2.6064059734344482,-0.003205259097740054,0.30652135610580444,0.2807242274284363,17.0,4352.0,73.91243417793885,278528.0
362.11,3.4000000953674316,3876.0,0.00178593082819134,0.01104736328125,2.610856056213379,-0.003504779189825058,0.37530720233917236,0.27466750144958496,18.0,4608.0,78.13974097883329,294912.0
323.91,3.9000000953674316,4001.0,0.00318421539850533,0.02528890036046505,2.5982868671417236,-0.006064108107239008,0.3476155996322632,0.30103445053100586,19.0,4864.0,82.23492750618607,311296.0
343.26,4.199999809265137,3978.0,0.0021711692679673433,0.013326008804142475,2.5900838375091553,-0.006114589050412178,0.4032851755619049,0.2999366521835327,20.0,5120.0,86.35409832792357,327680.0
396.12,4.0,3939.0,0.002682645805180073,0.01670328713953495,2.600759744644165,-0.006176008377224207,0.302125483751297,0.4213384985923767,21.0,5376.0,90.51386226899922,344064.0
371.82,3.799999952316284,3963.0,0.001797884819097817,0.011189778335392475,2.6118500232696533,-0.005576427560299635,0.28499799966812134,0.3401198983192444,22.0,5632.0,94.64892867999151,360448.0
369.5,3.9000000953674316,4021.0,0.003343133954331279,0.02752685546875,2.585266590118408,-0.005522843450307846,0.20618921518325806,0.4879271984100342,23.0,5888.0,98.72418559808284,376832.0
417.53,3.4000000953674316,4073.0,0.0023675470147281885,0.0185546875,2.614259958267212,-0.00437749782577157,0.30105331540107727,0.40966033935546875,24.0,6144.0,102.74690823210403,393216.0
447.24,3.200000047683716,3987.0,0.002336109522730112,0.01869710348546505,2.637603521347046,-0.005670441314578056,0.25068503618240356,0.38796812295913696,25.0,6400.0,106.85708655184135,409600.0
398.01,3.799999952316284,4021.0,0.002539172535762191,0.01857503317296505,2.632642984390259,-0.00469308951869607,0.4446124732494354,0.3284684419631958,26.0,6656.0,110.93206901475787,425984.0
393.9,4.300000190734863,4094.0,0.0028853288386017084,0.02052815817296505,2.6250157356262207,-0.006493430584669113,0.2733103334903717,0.46717149019241333,27.0,6912.0,114.93426465103403,442368.0
400.9,4.099999904632568,4051.0,0.00276890373788774,0.02001953125,2.616227388381958,-0.005682570394128561,0.25306496024131775,0.5259740650653839,28.0,7168.0,118.97875991510227,458752.0
378.7,4.199999809265137,4034.0,0.0025951031129807234,0.01883951760828495,2.6033544540405273,-0.003778459271416068,0.3621011972427368,0.5085534453392029,29.0,7424.0,123.04080311115831,475136.0
369.0,4.0,4086.0,0.0037542448844760656,0.0350341796875,2.5905001163482666,-0.007526323199272156,0.21819977462291718,0.5279628336429596,30.0,7680.0,127.05169729003683,491520.0
360.78,4.0,4066.0,0.0033165065106004477,0.02553304098546505,2.5732762813568115,-0.006875993683934212,0.31159645318984985,0.549347311258316,31.0,7936.0,131.08121695416048,507904.0
393.99,4.0,4008.0,0.0038513403851538897,0.0373128242790699,2.612423896789551,-0.005817405879497528,0.2888645529747009,0.5032755434513092,32.0,8192.0,135.16927255596966,524288.0
391.42,4.5,4083.0,0.0035305991768836975,0.03047688864171505,2.591486692428589,-0.007335078436881304,0.41227269172668457,0.5429072380065918,33.0,8448.0,139.1828126590699,540672.0
342.81,3.9000000953674316,4017.0,0.0034475272987037897,0.02998860739171505,2.5866973400115967,-0.007242121268063784,0.2421354055404663,0.586751252412796,34.0,8704.0,143.26202306896448,557056.0
300.85,4.199999809265137,4028.0,0.0031931193079799414,0.03009033203125,2.5881147384643555,-0.008759376592934132,0.4279508888721466,0.5240157246589661,35.0,8960.0,147.33020747173578,573440.0
318.37,3.700000047683716,3933.0,0.0037899978924542665,0.0355021171271801,2.584143877029419,-0.006515923887491226,0.1760816127061844,0.6147237420082092,36.0,9216.0,151.49649412976578,589824.0
345.16,3.5999999046325684,3975.0,0.0029355024453252554,0.02571614645421505,2.570732355117798,-0.004054503981024027,0.3514300584793091,0.5579267740249634,37.0,9472.0,155.61861559189856,606208.0
311.7,4.699999809265137,4019.0,0.004689170978963375,0.0517374686896801,2.571610689163208,-0.005731645971536636,0.4035548269748688,0.5647852122783661,38.0,9728.0,159.6959626819007,622592.0
358.82,4.300000190734863,4114.0,0.0032139811664819717,0.02777099609375,2.569223165512085,-0.00782920140773058,0.2914178967475891,0.5972036421298981,39.0,9984.0,163.67887836880982,638976.0
332.92,4.0,3872.0,0.0037063697818666697,0.0351155586540699,2.5536000728607178,-0.006257433909922838,0.32628384232521057,0.651940643787384,40.0,10240.0,167.91045044502243,655360.0
264.86,4.800000190734863,3893.0,0.0033116547856479883,0.0294189453125,2.549886465072632,-0.006519078742712736,0.3817352056503296,0.6344858109951019,41.0,10496.0,172.11957913078368,671744.0
334.21,4.300000190734863,4075.0,0.004112726077437401,0.0381062813103199,2.5564486980438232,-0.007681186776608229,0.23802845180034637,0.6264944672584534,42.0,10752.0,176.1408764058724,688128.0
363.17,3.200000047683716,3987.0,0.0038445277605205774,0.0367838554084301,2.5368969440460205,-0.007745439652353525,0.2793045938014984,0.7246865034103394,43.0,11008.0,180.2508302507922,704512.0
307.35,4.199999809265137,3932.0,0.003717890242114663,0.0376180000603199,2.5229861736297607,-0.005304047837853432,0.426492840051651,0.6378287971019745,44.0,11264.0,184.41800683597103,720896.0
313.57,4.800000190734863,4088.0,0.004472060594707727,0.04119873046875,2.5332467555999756,-0.007542112842202187,0.2954424321651459,0.7021108269691467,45.0,11520.0,188.4262699908577,737280.0
306.21,4.300000190734863,3948.0,0.0035696355625987053,0.0355631522834301,2.540905475616455,-0.008480883203446865,0.2846415340900421,0.6861966848373413,46.0,11776.0,192.5769231650047,753664.0
263.34,4.400000095367432,3994.0,0.0038243357557803392,0.0379231758415699,2.506338357925415,-0.007073420565575361,0.38480934500694275,0.6925115585327148,47.0,12032.0,196.67964811902493,770048.0
302.52,3.9000000953674316,3829.0,0.0044975620694458485,0.0443115234375,2.52514910697937,-0.00588737428188324,0.28132984042167664,0.7437898218631744,48.0,12288.0,200.9599555209279,786432.0
352.08,3.299999952316284,3986.0,0.003372058505192399,0.0315144844353199,2.5285956859588623,-0.007123835850507021,0.24030233919620514,0.7321973443031311,49.0,12544.0,205.07072059810162,802816.0
349.68,3.9000000953674316,4052.0,0.0036363883409649134,0.0340983085334301,2.525665044784546,-0.007818003185093403,0.2877960503101349,0.7727818489074707,50.0,12800.0,209.11473145196214,819200.0
331.99,4.800000190734863,4062.0,0.00401142705231905,0.0370890311896801,2.554870367050171,-0.008004062809050083,0.4207325875759125,0.7210891246795654,51.0,13056.0,213.1487038549967,835584.0
335.9,5.0,3986.0,0.003464069217443466,0.03021240234375,2.542058229446411,-0.0067097884602844715,0.3307368755340576,0.763297364115715,52.0,13312.0,217.25944882212207,851968.0
279.92,4.5,4037.0,0.0038465477991849184,0.0378621406853199,2.492027997970581,-0.005418702960014343,0.41697707772254944,0.7555356472730637,53.0,13568.0,221.31796490075067,868352.0
282.41,5.0,4067.0,0.004010779783129692,0.0378824882209301,2.498332977294922,-0.008565309457480907,0.30762985348701477,0.8134723901748657,54.0,13824.0,225.34724369784817,884736.0
322.58,4.800000190734863,4012.0,0.004226692020893097,0.0398966483771801,2.4808132648468018,-0.008775323629379272,0.3592197895050049,0.80052649974823,55.0,14080.0,229.4311420880258,901120.0
