eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
121.44827586206897,2.068965435028076,2006.0,0.00120683410204947,0.0042521157301962376,2.706854820251465,-0.0011359561467543244,0.24138683080673218,0.019844651222229004,1.0,256.0,8.166782589978538,16384.0
208.46315789473684,2.6315789222717285,4292.0,0.0039466689340770245,0.0426025390625,2.692136526107788,-0.0028344423044472933,0.5556964874267578,0.06001138687133789,2.0,512.0,11.985278467996977,32768.0
192.93,3.700000047683716,4530.0,0.003908331040292978,0.0394083671271801,2.6645755767822266,-0.002232485683634877,1.114927053451538,0.10106682777404785,3.0,768.0,15.602762049995363,49152.0
114.27,3.299999952316284,4435.0,0.004965135361999273,0.040283203125,2.617736339569092,-0.004294843878597021,1.316388487815857,0.1418975591659546,4.0,1024.0,19.29846232593991,65536.0
83.61,3.5,4544.0,0.0032108956947922707,0.02144368551671505,2.59061861038208,-0.0014409184223040938,1.2896524667739868,0.1925032138824463,5.0,1280.0,22.904879863956012,81920.0
100.49,3.5,4382.0,0.005406729876995087,0.0416259765625,2.5247929096221924,-0.002351375063881278,1.5528002977371216,0.22827517986297607,6.0,1536.0,26.644438022980466,98304.0
67.65,4.400000095367432,4642.0,0.004182801116257906,0.02714029885828495,2.5077641010284424,-0.0023950492031872272,2.2918989658355713,0.24333107471466064,7.0,1792.0,30.17468406399712,114688.0
55.89,3.0,4854.0,0.004870935808867216,0.02581787109375,2.457227945327759,-0.0017283102497458458,1.8760117292404175,0.27415746450424194,8.0,2048.0,33.550862281932496,131072.0
84.21,4.099999904632568,4463.0,0.0046406215988099575,0.0381062813103199,2.433631181716919,-0.002084126463159919,2.247361421585083,0.2841355800628662,9.0,2304.0,37.22248481400311,147456.0
50.96,3.200000047683716,4768.0,0.00384370144456625,0.020263671875,2.4268338680267334,-0.0006908485665917397,2.020634174346924,0.31191039085388184,10.0,2560.0,40.659370019915514,163840.0
51.46,2.700000047683716,4641.0,0.005438569467514753,0.0410970039665699,2.426995038986206,-0.0035317139700055122,1.6711441278457642,0.3578205704689026,11.0,2816.0,44.19037814496551,180224.0
48.3,3.0,4890.0,0.0045206788927316666,0.03759765625,2.4031870365142822,-0.0018899791175499558,1.8314772844314575,0.40227586030960083,12.0,3072.0,47.54125787992962,196608.0
56.05,4.400000095367432,4362.0,0.0048934416845440865,0.0393880195915699,2.360924005508423,-0.00236079772002995,1.8888072967529297,0.45334601402282715,13.0,3328.0,51.297964012017474,212992.0
47.96,3.5,4675.0,0.003928408492356539,0.02541097067296505,2.2639517784118652,-0.0024967289064079523,1.864507794380188,0.4669386148452759,14.0,3584.0,54.80418929492589,229376.0
41.08,4.699999809265137,4759.0,0.00500591192394495,0.0346476249396801,2.2116901874542236,-0.002589802024886012,1.9481180906295776,0.49453455209732056,15.0,3840.0,58.24718971492257,245760.0
52.87,3.299999952316284,4739.0,0.0037173235323280096,0.0283203125,2.2344353199005127,-0.0013078743359073997,1.8475189208984375,0.5335616171360016,16.0,4096.0,61.70484490797389,262144.0
38.15,3.5999999046325684,4570.0,0.0032472030725330114,0.014912922866642475,2.2403829097747803,-0.0021362705156207085,1.8125914335250854,0.5693459808826447,17.0,4352.0,65.29178236797452,278528.0
61.11,3.799999952316284,4837.0,0.002871258882805705,0.01806640625,2.25533390045166,-0.0007822835468687117,2.006953001022339,0.5999397337436676,18.0,4608.0,68.6793418530142,294912.0
38.56,3.200000047683716,4612.0,0.0025899664033204317,0.01531982421875,2.22003436088562,-0.00156442541629076,1.9585851430892944,0.5975435376167297,19.0,4864.0,72.2322475729743,311296.0
49.07,3.4000000953674316,4827.0,0.0047729904763400555,0.04290771484375,2.2353298664093018,-0.0018797796219587326,1.923873782157898,0.6319844722747803,20.0,5120.0,75.62704623898026,327680.0
42.18,4.199999809265137,4673.0,0.0037987937685102224,0.02738443948328495,2.1991302967071533,-0.0017079332610592246,2.0367019176483154,0.627331405878067,21.0,5376.0,79.13407774700318,344064.0
47.44,3.5999999046325684,4777.0,0.004033414181321859,0.0289306640625,2.151926279067993,-0.0030671667773276567,1.9989608526229858,0.6756641268730164,22.0,5632.0,82.564849784947,360448.0
48.35,4.300000190734863,4790.0,0.0033256474416702986,0.01786295510828495,2.0817904472351074,-0.0019573771860450506,2.261260509490967,0.6588806807994843,23.0,5888.0,85.98593518091366,376832.0
37.96,4.599999904632568,4368.0,0.004462705459445715,0.03369140625,2.074187994003296,-0.0024836985394358635,2.2730729579925537,0.6551095545291901,24.0,6144.0,89.73701336595695,393216.0
