eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
97.32,0.5427999496459961,1891.0,0.00030247567337937653,0.0,2.7077434062957764,-0.0003073565603699535,0.7045276165008545,0.0021499991416931152,1.0,256.0,8.663216510787606,16384.0
129.57,0.7191998958587646,4210.0,0.00011137613182654604,0.0,2.7073466777801514,-0.00023162645811680704,0.17145241796970367,0.0031296610832214355,2.0,512.0,12.556108419783413,32768.0
131.58,0.6624000668525696,4285.0,0.0003643904346972704,0.0,2.7059504985809326,-0.0005951524362899363,0.14225457608699799,0.01079779863357544,3.0,768.0,16.38089850731194,49152.0
114.56,0.6375999450683594,4318.0,0.0026302216574549675,0.0045979819260537624,2.6985788345336914,-0.0015535405836999416,0.18002134561538696,0.022780954837799072,4.0,1024.0,20.176706213504076,65536.0
133.4,0.7160000801086426,4247.0,0.0036059897392988205,0.0069173178635537624,2.680739402770996,-0.0016261846758425236,0.18032033741474152,0.04152125120162964,5.0,1280.0,24.03505960199982,81920.0
124.33,0.6735999584197998,4474.0,0.0025066102389246225,0.0017903646221384406,2.6654093265533447,-0.0007837540470063686,0.1780286431312561,0.06970679759979248,6.0,1536.0,27.69810188189149,98304.0
125.54,0.683199942111969,4557.0,0.0029073019977658987,0.0101318359375,2.649024248123169,-0.0009182941284961998,0.22026456892490387,0.11114615201950073,7.0,1792.0,31.29423146788031,114688.0
122.81,0.711199939250946,4283.0,0.0023493992630392313,0.0091552734375,2.6373424530029297,-0.0004471729334909469,0.24618054926395416,0.15840309858322144,8.0,2048.0,35.12013030052185,131072.0
144.51,0.7247999310493469,4205.0,0.0030375905334949493,0.02827962301671505,2.6180293560028076,-0.0014417801285162568,0.22600875794887543,0.2139829397201538,9.0,2304.0,39.0173347145319,147456.0
123.95,0.715999960899353,4280.0,0.0035619931295514107,0.01605224609375,2.5973801612854004,-0.0014830534346401691,0.24534688889980316,0.2789568305015564,10.0,2560.0,42.84624208975583,163840.0
111.82,0.6459999084472656,4550.0,0.003138590371236205,0.010416666977107525,2.5978052616119385,-0.0015587517991662025,0.25854626297950745,0.3001655340194702,11.0,2816.0,46.44820421375334,180224.0
107.19,0.6367999911308289,4596.0,0.0027476793620735407,0.0123291015625,2.588944673538208,-0.0013906010426580906,0.2585221529006958,0.3641096353530884,12.0,3072.0,50.01369030587375,196608.0
113.47,0.6676000356674194,4409.0,0.0028128409758210182,0.01820882223546505,2.603804588317871,-0.0016153723699972034,0.2069907784461975,0.47667479515075684,13.0,3328.0,53.73127862159163,212992.0
131.57,0.7631999254226685,4553.0,0.004219486378133297,0.0462239570915699,2.6209235191345215,-0.0027871287893503904,0.193148672580719,0.5497466325759888,14.0,3584.0,57.33067309856415,229376.0
114.89,0.7215999364852905,4533.0,0.0036600350867956877,0.02412923239171505,2.619537115097046,-0.002008892362937331,0.1718738079071045,0.6016806960105896,15.0,3840.0,60.946385397575796,245760.0
126.89,0.7556000351905823,4399.0,0.00461882958188653,0.0360514335334301,2.6141715049743652,-0.0036654621362686157,0.16226930916309357,0.6730111241340637,16.0,4096.0,64.67137496452779,262144.0
137.37,0.8927998542785645,4328.0,0.006278368178755045,0.0765787735581398,2.6023519039154053,-0.0020443915855139494,0.20618848502635956,0.6661619246006012,17.0,4352.0,68.45780705753714,278528.0
138.81,0.8839998841285706,4502.0,0.0035271605011075735,0.02970377542078495,2.6013853549957275,-0.001588579616509378,0.22231657803058624,0.7139498591423035,18.0,4608.0,72.09956078696996,294912.0
138.22,0.9187999963760376,4711.0,0.004037580918520689,0.0357462577521801,2.5982189178466797,-0.0030347604770213366,0.15617798268795013,0.7098215222358704,19.0,4864.0,75.57856881059706,311296.0
134.64,0.8875998854637146,4569.0,0.005809776950627565,0.0670979842543602,2.6030473709106445,-0.0008737390744499862,0.19617605209350586,0.6985561549663544,20.0,5120.0,79.16487582586706,327680.0
121.01,0.7899999022483826,4767.0,0.00409838417544961,0.0383707694709301,2.5826945304870605,-0.002327352063730359,0.18228965997695923,0.7216862142086029,21.0,5376.0,82.60311737656593,344064.0
129.86,0.901999831199646,4350.0,0.005335792433470488,0.06011962890625,2.5858163833618164,-0.0017818622291088104,0.1971643567085266,0.7091904282569885,22.0,5632.0,86.36987082194537,360448.0
136.09,0.9247998595237732,4369.0,0.005532819777727127,0.0617472343146801,2.5877158641815186,-0.0031615542247891426,0.1610223799943924,0.6296781003475189,23.0,5888.0,90.12139919959009,376832.0
123.69,0.8667999505996704,4643.0,0.004709633532911539,0.0441691093146801,2.5602357387542725,-0.0029122575651854277,0.16401438415050507,0.586618959903717,24.0,6144.0,93.65067239012569,393216.0
142.1,0.9555999040603638,4611.0,0.005111658945679665,0.0561319999396801,2.5535895824432373,-0.0020289095118641853,0.16630063951015472,0.6453900635242462,25.0,6400.0,97.20431805681437,409600.0
136.3,0.9303999543190002,4161.0,0.006017905194312334,0.0633748397231102,2.5016982555389404,-0.003292200155556202,0.14826682209968567,0.6680098474025726,26.0,6656.0,101.14201218541712,425984.0
137.14,0.959199845790863,4289.0,0.006676064804196358,0.0864461287856102,2.5124762058258057,-0.0029716321732848883,0.15963095426559448,0.6939657628536224,27.0,6912.0,104.963070246391,442368.0
144.25,0.903999924659729,4169.0,0.006443321239203215,0.0749715194106102,2.5002987384796143,-0.005107296165078878,0.1469293087720871,0.704146534204483,28.0,7168.0,108.8943201508373,458752.0
141.43,0.959199845790863,4344.0,0.005730270873755217,0.0638224259018898,2.5015275478363037,-0.004345988389104605,0.16727139055728912,0.6939364969730377,29.0,7424.0,112.66758337523788,475136.0
