eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
54.9,0.46000000834465027,1930.0,0.0003866212209686637,0.0,2.707660436630249,-0.0009064213372766972,0.42210623621940613,0.0073934197425842285,1.0,256.0,8.487503919750452,16384.0
72.44,0.5199999809265137,4328.0,0.0012008178746327758,0.00701904296875,2.703162431716919,-0.0015920228324830532,0.14852769672870636,-0.002331256866455078,2.0,512.0,12.273627589456737,32768.0
76.53,0.7599999904632568,4496.0,0.0026805177330970764,0.012410481460392475,2.688934326171875,-0.00170204509049654,0.16584230959415436,0.0038729310035705566,3.0,768.0,15.918167299591005,49152.0
85.34,0.6200000047683716,4329.0,0.0035140346735715866,0.02128092385828495,2.671847343444824,-0.002023153007030487,0.15895815193653107,0.03016042709350586,4.0,1024.0,19.703890449367464,65536.0
77.97,0.6600000262260437,4646.0,0.0021965636406093836,0.01949056051671505,2.6591925621032715,-0.0008060826803557575,0.20603448152542114,0.014265120029449463,5.0,1280.0,23.23140415828675,81920.0
77.43,0.8799999952316284,4560.0,0.0063440375961363316,0.06573486328125,2.6034159660339355,-0.0012337520020082593,0.17852728068828583,0.021609067916870117,6.0,1536.0,26.825488719157875,98304.0
67.34,0.7400000095367432,4501.0,0.004353655036538839,0.02992757223546505,2.5883188247680664,-0.0020275802817195654,0.14331978559494019,0.07527357339859009,7.0,1792.0,30.466347731649876,114688.0
102.13,1.2000000476837158,4684.0,0.00445461506024003,0.0415242500603199,2.602902889251709,-0.0007220131810754538,0.20751428604125977,0.07542192935943604,8.0,2048.0,33.96492808032781,131072.0
108.65,1.2799999713897705,4304.0,0.004995089955627918,0.05865478515625,2.5338265895843506,-0.000985681894235313,0.17778044939041138,0.08338552713394165,9.0,2304.0,37.77222231030464,147456.0
86.5,0.9599999785423279,4434.0,0.003550233319401741,0.02791341207921505,2.544384002685547,-0.001224677893333137,0.18772636353969574,0.1019781231880188,10.0,2560.0,41.467807572335005,163840.0
116.76,1.4800000190734863,4646.0,0.0058671566657722,0.0602620430290699,2.4633872509002686,-0.002799098612740636,0.1720731258392334,0.09627526998519897,11.0,2816.0,44.99503719992936,180224.0
83.45,1.1799999475479126,4607.0,0.004726123064756393,0.03061930276453495,2.493389368057251,-0.002260775538161397,0.1728571057319641,0.09632384777069092,12.0,3072.0,48.55223778355867,196608.0
106.42,1.0399999618530273,4543.0,0.0034751426428556442,0.01633707620203495,2.529541492462158,-0.0019530568970367312,0.15477196872234344,0.09931790828704834,13.0,3328.0,52.159629825502634,212992.0
114.73,1.2200000286102295,4693.0,0.0030644142534583807,0.01625569723546505,2.506093740463257,-0.0018746722489595413,0.15778259932994843,0.11988908052444458,14.0,3584.0,55.6516777491197,229376.0
136.58,1.3799999952316284,4633.0,0.0024469506461173296,0.01780191995203495,2.540476083755493,-0.0019493981963023543,0.17672161757946014,0.10151451826095581,15.0,3840.0,59.1890103565529,245760.0
92.54,1.2200000286102295,4581.0,0.005693725775927305,0.0476277656853199,2.4744725227355957,-0.0036778077483177185,0.16563503444194794,0.14062076807022095,16.0,4096.0,62.76635767240077,262144.0
113.77,1.3200000524520874,4479.0,0.0029973199125379324,0.011311848647892475,2.478437662124634,-0.0024427121970802546,0.16606803238391876,0.1913653016090393,17.0,4352.0,66.42487507779151,278528.0
154.66,1.7400000095367432,4562.0,0.003425228176638484,0.015034993179142475,2.4825384616851807,-0.0030208881944417953,0.10581815242767334,0.3025996685028076,18.0,4608.0,70.01657407917082,294912.0
139.78,1.6200000047683716,4610.0,0.0044213454239070415,0.0396728515625,2.468594789505005,-0.002913622884079814,0.18326304852962494,0.20575904846191406,19.0,4864.0,73.57090966776013,311296.0
109.73,1.5399999618530273,4390.0,0.004588444717228413,0.0415852852165699,2.46779465675354,-0.0034220218658447266,0.1753174066543579,0.1303105354309082,20.0,5120.0,77.30361168738455,327680.0
114.85,1.4800000190734863,4353.0,0.0049582975916564465,0.0417277030646801,2.446085214614868,-0.002329266397282481,0.17225925624370575,0.20854789018630981,21.0,5376.0,81.06841744482517,344064.0
105.76,1.7000000476837158,4398.0,0.006393717136234045,0.0736287459731102,2.3743021488189697,-0.0029607017058879137,0.23065096139907837,0.12023258209228516,22.0,5632.0,84.79439796227962,360448.0
